"School 
Year","LEA 
Code","LEA 
Name","School 
Code","School 
Name","Charter 
School","Current 
Grades","Direct 
Certification","Community 
Eligibility","Total 
Enrollment","# Identified 
Students",Multiplier,"# Low 
Income 
Students","% Low 
Income 
Students","School 
Served","Eligibility 
Program 
Model","Eligibility 
Justification","Program 
Justification","# Students 
Served TAS","Grades 
Served 
TAS","Served 
1st Year","Served 1st 
Year Comment"
2020-2021,010,Alamance-Burlington Schools,010353,Hawfields Middle,N,"06,07,08",N,N,716,N/A,N/A,379,52.93,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,N,"PK,0K,01,02,03,04,05",N,Y,657,458,1.6,657,100,Y,SW-SW,,,,,2006-2007,
2020-2021,010,Alamance-Burlington Schools,010357,Haw River Elementary,N,"PK,0K,01,02,03,04,05",N,Y,544,301,1.6,482,88.6,Y,SW-SW,,,,,2004-2005,
2020-2021,010,Alamance-Burlington Schools,010358,Hillcrest Elementary,N,"PK,0K,01,02,03,04,05",N,Y,621,360,1.6,576,92.75,Y,SW-SW,,,,,2005-2006,
2020-2021,010,Alamance-Burlington Schools,010360,Hugh M Cummings High,N,"09,10,11,12,XG",N,N,966,N/A,N/A,718,74.33,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010362,Marvin B Smith Elementary,N,"PK,0K,01,02,03,04,05",N,N,524,N/A,N/A,233,44.47,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010364,North Graham Elementary,N,"PK,0K,01,02,03,04,05",N,Y,375,238,1.6,375,100,Y,SW-SW,,,,,2006-2007,
2020-2021,010,Alamance-Burlington Schools,010372,Pleasant Grove Elementary,N,"PK,0K,01,02,03,04,05",N,Y,337,175,1.6,280,83.09,Y,SW-SW,,,,,2005-2006,
2020-2021,010,Alamance-Burlington Schools,010374,R Homer Andrews Elementary,N,"PK,0K,01,02,03,04,05",N,Y,574,310,1.6,496,86.41,Y,SW-SW,,,,,2005-2006,
2020-2021,010,Alamance-Burlington Schools,010378,Ray Street Academy,N,"06,07,08,09,10,11,12,XG",N,Y,97,69,1.6,97,100,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010380,South Graham Elementary,N,"PK,0K,01,02,03,04,05",N,N,596,N/A,N/A,460,77.18,Y,SW-SW,,,,,2005-2006,
2020-2021,010,Alamance-Burlington Schools,010384,South Mebane Elementary,N,"0K,01,02,03,04,05",N,N,630,N/A,N/A,260,41.27,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010388,Southern Alamance High,N,"09,10,11,12,XG",N,N,1365,N/A,N/A,475,34.8,N,Not Title I,,,,,,
2020-2021,010,Alamance-Burlington Schools,010390,Southern Alamance Middle,N,"06,07,08",N,N,763,N/A,N/A,287,37.61,N,TAS,,,,,,
2020-2021,010,Alamance-Burlington Schools,010392,Sylvan Elementary,N,"PK,0K,01,02,03,04,05",N,N,279,N/A,N/A,173,62.01,Y,SW-SW,,,,,2006-2007,
2020-2021,010,Alamance-Burlington Schools,010394,Turrentine Middle,N,"06,07,08",N,N,1005,N/A,N/A,660,65.67,Y,SW-SW,,,,,2010-2011,
2020-2021,010,Alamance-Burlington Schools,010396,Walter M Williams High,N,"09,10,11,12,XG",N,N,1156,N/A,N/A,595,51.47,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010400,Western Alamance High,N,"09,10,11,12,XG",N,N,1111,N/A,N/A,340,30.6,N,Not Title I,,,,,,
2020-2021,010,Alamance-Burlington Schools,010403,Western Alamance Middle,N,"06,07,08",N,N,861,N/A,N/A,340,39.49,N,TAS,,,,,,
2020-2021,010,Alamance-Burlington Schools,010406,Woodlawn Middle,N,"06,07,08",N,N,622,N/A,N/A,285,45.82,N,SW,,,,,,
2020-2021,01B,River Mill Academy,01B000,River Mill Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,807,N/A,N/A,198,24.54,N,Not Title I,,,,,,
2020-2021,01C,Clover Garden,01C000,Clover Garden,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,644,169,1.6,270,41.93,Y,SW-SW,,,,,2006-2007,
2020-2021,01D,The Hawbridge School,01D000,The Hawbridge School,Y,"04,05,06,07,08,09,10,11,12",N,N,319,0,1.6,0,0,N,Not Title I,,,,,,
2020-2021,01F,Alamance Community School,01F000,Alamance Community School,Y,"0K,01,02,03",N,N,326,N/A,N/A,149,45.71,Y,SW-TAS,,,40,"0K,01,02,03",2020-2021,
2020-2021,020,Alexander County Schools,020302,Alexander Central High,N,"09,10,11,12,XG",N,N,953,N/A,N/A,388,40.71,N,SW,,,,,,
2020-2021,020,Alexander County Schools,020303,Alexander Early College,N,"09,10,11,12,XG",N,N,193,N/A,N/A,47,24.35,N,Not Title I,,,,,,
2020-2021,020,Alexander County Schools,020304,Bethlehem Elementary,N,"PK,0K,01,02,03,04,05",N,N,462,N/A,N/A,150,32.47,N,Not Title I,,,,,,
2020-2021,020,Alexander County Schools,020306,East Alexander Middle,N,"06,07,08",N,N,610,N/A,N/A,361,59.18,N,SW,,,,,,
2020-2021,020,Alexander County Schools,020308,Ellendale Elementary,N,"0K,01,02,03,04,05",N,N,268,N/A,N/A,105,39.18,Y,TAS-SW,,Always SW,,,2006-2007,
2020-2021,020,Alexander County Schools,020316,Hiddenite Elementary,N,"PK,0K,01,02,03,04,05",N,N,446,N/A,N/A,276,61.88,Y,SW-SW,,,,,2006-2007,
2020-2021,020,Alexander County Schools,020320,Stony Point Elementary,N,"PK,0K,01,02,03,04,05",N,N,230,N/A,N/A,144,62.61,Y,SW-SW,,,,,2006-2007,
2020-2021,020,Alexander County Schools,020324,Sugar Loaf Elementary,N,"0K,01,02,03,04,05",N,N,227,N/A,N/A,101,44.49,Y,SW-SW,,,,,2006-2007,
2020-2021,020,Alexander County Schools,020328,Taylorsville Elementary,N,"PK,0K,01,02,03,04,05",N,N,229,N/A,N/A,160,69.87,Y,SW-SW,,,,,2006-2007,
2020-2021,020,Alexander County Schools,020330,West Alexander Middle,N,"06,07,08",N,N,545,N/A,N/A,199,36.51,N,TAS,,,,,,
2020-2021,020,Alexander County Schools,020332,Wittenburg Elementary,N,"PK,0K,01,02,03,04,05",N,N,292,N/A,N/A,136,46.58,Y,SW-SW,,,,,2010-2011,
2020-2021,030,Alleghany County Schools,030304,Alleghany High,N,"09,10,11,12,XG",N,N,401,229,1.6,366,91.27,N,SW,,,,,,
2020-2021,030,Alleghany County Schools,030308,Glade Creek Elementary,N,"PK,0K,01,02,03,04,05,06,07,08",N,N,222,203,1.6,222,100,Y,SW-SW,,,,,2006-2007,
2020-2021,030,Alleghany County Schools,030316,Piney Creek Elementary,N,"PK,0K,01,02,03,04,05,06,07,08",N,N,151,94,1.6,150,99.34,Y,SW-SW,,,,,2006-2007,
2020-2021,030,Alleghany County Schools,030320,Sparta Elementary,N,"PK,0K,01,02,03,04,05,06,07,08",N,N,558,488,1.6,558,100,Y,SW-SW,,,,,2004-2005,
2020-2021,040,Anson County Schools,040304,Anson Co. Early College High,N,"09,10,11,12,13",N,Y,247,70,1.6,112,45.34,N,SW,,,,,,
2020-2021,040,Anson County Schools,040305,Anson Academy,N,"07,08,09,10,11,12,XG",N,Y,28,21,1.6,28,100,N,SW,,,,,,
2020-2021,040,Anson County Schools,040306,Anson High School,N,"09,10,11,12,XG",N,Y,631,292,1.6,467,74.01,N,SW,,,,,,
2020-2021,040,Anson County Schools,040308,Ansonville Elementary,N,"0K,01,02,03,04,05",N,Y,166,60,1.6,96,57.83,Y,SW-SW,,,,,2006-2007,
2020-2021,040,Anson County Schools,040309,Anson Middle,N,"06,07,08",N,Y,729,385,1.6,616,84.5,N,SW,,,,,,
2020-2021,040,Anson County Schools,040311,Wadesboro Primary,N,"0K,01,02,03",N,Y,293,231,1.6,293,100,Y,SW-SW,,,,,2002-2003,
2020-2021,040,Anson County Schools,040316,Lilesville Elementary,N,"0K,01,02,03,04,05",N,Y,250,164,1.6,250,100,Y,SW-SW,,,,,2002-2003,
2020-2021,040,Anson County Schools,040324,Morven Elementary,N,"0K,01,02,03,04,05",N,Y,179,138,1.6,179,100,Y,SW-SW,,,,,2003-2004,
2020-2021,040,Anson County Schools,040328,Peachland-Polkton Elem,N,"0K,01,02,03,04,05",N,Y,420,189,1.6,302,71.9,Y,SW-SW,,,,,2009-2010,
2020-2021,040,Anson County Schools,040330,Wadesboro Elementary,N,"04,05",N,Y,166,120,1.6,166,100,Y,SW-SW,,,,,2002-2003,
2020-2021,050,Ashe County Schools,050302,Ashe County High,N,"09,10,11,12,XG",N,N,759,N/A,N/A,388,51.12,N,SW,,,,,,
2020-2021,050,Ashe County Schools,050303,Ashe County Early College High,N,"09,10,11,12",N,N,100,N/A,N/A,39,39,N,TAS,,,,,,
2020-2021,050,Ashe County Schools,050305,Ashe County Middle,N,"07,08",N,N,508,N/A,N/A,292,57.48,N,SW,,,,,,
2020-2021,050,Ashe County Schools,050310,Blue Ridge Elementary,N,"0K,01,02,03,04,05,06",N,N,449,N/A,N/A,279,62.14,Y,SW-SW,,,,,2005-2006,
2020-2021,050,Ashe County Schools,050330,Mountain View Elementary,N,"PK,0K,01,02,03,04,05,06",N,N,529,N/A,N/A,312,58.98,Y,SW-SW,,,,,2003-2004,
2020-2021,050,Ashe County Schools,050335,Westwood Elementary,N,"0K,01,02,03,04,05,06",N,N,550,N/A,N/A,317,57.64,Y,SW-SW,,,,,2006-2007,
2020-2021,060,Avery County Schools,060302,Avery County High,N,"09,10,11,12",N,N,539,N/A,N/A,249,46.2,N,SW,,,,,,
2020-2021,060,Avery County Schools,060304,Banner Elk Elementary,N,"PK,0K,01,02,03,04,05",N,Y,173,N/A,N/A,76,43.93,Y,SW-SW,,,,,2009-2010,
2020-2021,060,Avery County Schools,060310,Cranberry Middle,N,"06,07,08",N,N,208,N/A,N/A,108,51.92,Y,SW-SW,,,,,2006-2007,
2020-2021,060,Avery County Schools,060316,Crossnore Elementary,N,"PK,0K,01,02,03,04,05",N,N,189,N/A,N/A,101,53.44,Y,SW-SW,,,,,2006-2007,
2020-2021,060,Avery County Schools,060318,Avery Middle,N,"06,07,08",N,N,281,N/A,N/A,166,59.07,Y,SW-SW,,,,,2009-2010,
2020-2021,060,Avery County Schools,060322,Freedom Trail Elementary,N,"PK,0K,01,02,03,04,05",N,N,209,N/A,N/A,141,67.46,Y,SW-SW,,,,,2006-2007,
2020-2021,060,Avery County Schools,060328,Newland Elementary,N,"PK,0K,01,02,03,04,05",N,N,252,N/A,N/A,193,76.59,Y,SW-SW,,,,,2005-2006,
2020-2021,060,Avery County Schools,060332,Riverside Elementary,N,"PK,0K,01,02,03,04,05",N,N,114,N/A,N/A,72,63.16,Y,SW-SW,,,,,2006-2007,
2020-2021,060,Avery County Schools,060334,Blue Ridge High School,N,"06,07,08,09,10,11,12",N,N,16,N/A,N/A,8,50,N,SW,,,,,,
2020-2021,06B,Marjorie Williams Academy,06B000,Marjorie Williams Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,113,N/A,N/A,113,100,Y,SW-SW,,,,,2006-2007,
2020-2021,070,Beaufort County Schools,070302,Eastern Elementary,N,"PK,0K,01",N,Y,487,N/A,N/A,279,57.29,Y,SW-SW,,,,,2006-2007,
2020-2021,070,Beaufort County Schools,070308,Bath Elementary,N,"0K,01,02,03,04,05,06,07,08",N,Y,589,N/A,N/A,118,20.03,N,Not Title I,,,,,,
2020-2021,070,Beaufort County Schools,070310,B C Ed Tech Center,N,"06,07,08,09,10,11,12",N,Y,76,N/A,N/A,45,59.21,N,SW,,,,,,
2020-2021,070,Beaufort County Schools,070311,Beaufort Co Early College High,N,"09,10,11,12,13",N,N,251,N/A,N/A,70,27.89,N,Not Title I,,,,,,
2020-2021,070,Beaufort County Schools,070325,Chocowinity Middle,N,"05,06,07,08",N,Y,416,N/A,N/A,192,46.15,Y,SW-SW,,,,,2017-2018,
2020-2021,070,Beaufort County Schools,070326,Chocowinity Primary,N,"PK,0K,01,02,03,04",N,Y,480,N/A,N/A,235,48.96,Y,SW-SW,,,,,2006-2007,
2020-2021,070,Beaufort County Schools,070327,John C Tayloe Elementary,N,"02,03",N,Y,509,N/A,N/A,261,51.28,Y,SW-SW,,,,,2006-2007,
2020-2021,070,Beaufort County Schools,070328,John Small Elementary,N,"04,05",N,Y,509,N/A,N/A,292,57.37,Y,SW-SW,,,,,2005-2006,
2020-2021,070,Beaufort County Schools,070329,Northeast Elementary,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,417,N/A,N/A,176,42.21,Y,SW-SW,,,,,2002-2003,
2020-2021,070,Beaufort County Schools,070330,Northside High,N,"09,10,11,12",N,Y,389,N/A,N/A,107,27.51,N,Not Title I,,,,,,
2020-2021,070,Beaufort County Schools,070338,P S Jones Middle,N,"06,07,08",N,Y,767,N/A,N/A,354,46.15,Y,SW-SW,,,,,2019-2020,
2020-2021,070,Beaufort County Schools,070339,Southside High,N,"09,10,11,12",N,Y,381,N/A,N/A,137,35.96,N,TAS,,,,,,
2020-2021,070,Beaufort County Schools,070340,S W Snowden Elementary,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,158,N/A,N/A,108,68.35,Y,SW-SW,,,,,2005-2006,
2020-2021,070,Beaufort County Schools,070342,Washington High,N,"09,10,11,12",N,Y,806,N/A,N/A,316,39.21,N,TAS,,,,,,
2020-2021,07A,Washington Montessori,07A000,Washington Montessori,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,422,N/A,N/A,74,17.54,N,Not Title I,,,,,,
2020-2021,080,Bertie County Schools,080311,Bertie Early College High,N,"09,10,11,12,13",N,Y,177,N/A,N/A,177,100,Y,SW-SW,,,,,2014-2015,
2020-2021,080,Bertie County Schools,080312,Bertie High,N,"09,10,11,12",N,Y,434,N/A,N/A,434,100,Y,SW-SW,,,,,2009-2010,
2020-2021,080,Bertie County Schools,080314,Bertie Middle,N,"06,07,08",N,Y,477,N/A,N/A,477,100,Y,SW-SW,,,,,2006-2007,
2020-2021,080,Bertie County Schools,080348,Aulander Elementary,N,"PK,0K,01,02,03,04,05",N,Y,124,N/A,N/A,124,100,Y,SW-SW,,,,,2006-2007,
2020-2021,080,Bertie County Schools,080356,West Bertie Elementary,N,"PK,0K,01,02,03,04,05",N,Y,227,N/A,N/A,227,100,Y,SW-SW,,,,,2002-2003,
2020-2021,080,Bertie County Schools,080360,Colerain Elementary,N,"PK,0K,01,02,03,04,05",N,Y,158,N/A,N/A,158,100,Y,SW-SW,,,,,2006-2007,
2020-2021,080,Bertie County Schools,080362,Windsor Elementary,N,"PK,0K,01,02,03,04,05",N,Y,380,N/A,N/A,380,100,Y,SW-SW,,,,,2002-2003,
2020-2021,08A,Three Rivers Academy,08A000,Three Rivers Academy,Y,"0K,01,02,03,04,05,06,07,08",N,N,107,N/A,N/A,54,50.47,Y,SW-SW,,,,,2014-2015,
2020-2021,090,Bladen County Schools,090315,Bladenboro Middle,N,"05,06,07,08",N,Y,296,137,1.6,219,73.99,Y,SW-SW,,,,,2012-2013,
2020-2021,090,Bladen County Schools,090317,Bladenboro Primary,N,"PK,0K,01,02,03,04",N,Y,366,218,1.6,349,95.36,Y,SW-SW,,,,,2006-2007,
2020-2021,090,Bladen County Schools,090318,Bladen Lakes Primary,N,"PK,0K,01,02,03,04",N,Y,163,99,1.6,158,96.93,Y,SW-SW,,,,,2006-2007,
2020-2021,090,Bladen County Schools,090320,Clarkton School of Discovery,N,"05,06,07,08",N,Y,233,108,1.6,173,74.25,Y,SW-SW,,,,,2017-2018,
2020-2021,090,Bladen County Schools,090324,Dublin Primary,N,"PK,0K,01,02,03,04",N,Y,202,106,1.6,170,84.16,Y,SW-SW,,,,,2006-2007,
2020-2021,090,Bladen County Schools,090328,East Arcadia Elementary,N,"0K,01,02,03,04",N,Y,58,41,1.6,58,100,Y,SW-SW,,,,,2006-2007,
2020-2021,090,Bladen County Schools,090330,East Bladen High,N,"09,10,11,12,XG",N,Y,599,249,1.6,398,66.44,N,SW,,,,,,
2020-2021,090,Bladen County Schools,090332,Elizabethtown Middle,N,"05,06,07,08",N,Y,407,249,1.6,398,97.79,Y,SW-SW,,,,,2002-2003,
2020-2021,090,Bladen County Schools,090333,Elizabethtown Primary,N,"PK,0K,01,02,03,04",N,Y,472,317,1.6,472,100,Y,SW-SW,,,,,2004-2005,
2020-2021,090,Bladen County Schools,090352,Plain View Primary,N,"PK,0K,01,02,03,04",N,Y,170,86,1.6,138,81.18,Y,SW-SW,,,,,2006-2007,
2020-2021,090,Bladen County Schools,090365,Tar Heel Middle,N,"05,06,07,08",N,Y,350,162,1.6,259,74,Y,SW-SW,,,,,2012-2013,
2020-2021,090,Bladen County Schools,090368,West Bladen High,N,"09,10,11,12,XG",N,Y,659,225,1.6,360,54.63,N,SW,,,,,,
2020-2021,090,Bladen County Schools,090376,Bladen Early College,N,"09,10,11",N,Y,90,44,1.6,70,77.78,N,SW,,,,,,
2020-2021,09A,Paul R Brown Leadership Academy,09A000,Paul R. Brown Leadership Academy,Y,"06,07,08,09,10,11,12",N,N,135,68,1.6,109,80.74,Y,SW-SW,,,,,2014-2015,
2020-2021,09B,Emereau: Bladen,09B000,Emereau: Bladen,Y,"0K,01,02,03,04,05,06,07,08,09",N,N,538,272,1.6,435,80.86,Y,SW-SW,,,,,2018-2019,
2020-2021,100,Brunswick County Schools,100302,Belville Elementary,N,"0K,01,02,03,04,05",N,Y,873,N/A,N/A,442,50.63,Y,SW-SW,,,,,2002-2003,
2020-2021,100,Brunswick County Schools,100304,Bolivia Elementary,N,"0K,01,02,03,04,05",N,Y,427,N/A,N/A,281,65.81,Y,SW-SW,,,,,2005-2006,
2020-2021,100,Brunswick County Schools,100307,Brunswick County Early College,N,"09,10,11,12,13",N,Y,371,N/A,N/A,154,41.51,N,SW,,,,,,
2020-2021,100,Brunswick County Schools,100308,The COAST,N,"06,07,08,09,10,11,12,XG",N,Y,87,N/A,N/A,66,75.86,N,SW,,,,,,
2020-2021,100,Brunswick County Schools,100309,Cedar Grove Middle,N,"06,07,08",N,Y,506,N/A,N/A,338,66.8,Y,SW-SW,,,,,2009-2010,
2020-2021,100,Brunswick County Schools,100310,Jessie Mae Monroe Elementary,N,"0K,01,02,03,04,05",N,Y,461,N/A,N/A,275,59.65,Y,SW-SW,,,,,2002-2003,
2020-2021,100,Brunswick County Schools,100316,Leland Middle,N,"06,07,08",N,Y,947,N/A,N/A,590,62.3,Y,SW-SW,,,,,2009-2010,
2020-2021,100,Brunswick County Schools,100320,Lincoln Elementary,N,"PK,0K,01,02,03,04,05",N,Y,619,N/A,N/A,465,75.12,Y,SW-SW,,,,,2005-2006,
2020-2021,100,Brunswick County Schools,100326,North Brunswick High,N,"09,10,11,12,XG",N,Y,1079,N/A,N/A,611,56.63,N,SW,,,,,,
2020-2021,100,Brunswick County Schools,100332,Shallotte Middle,N,"06,07,08",N,Y,640,N/A,N/A,365,57.03,Y,SW-SW,,,,,2009-2010,
2020-2021,100,Brunswick County Schools,100334,South Brunswick High,N,"09,10,11,12,XG",N,Y,987,N/A,N/A,461,46.71,N,SW,,,,,,
2020-2021,100,Brunswick County Schools,100335,South Brunswick Middle,N,"06,07,08",N,Y,759,N/A,N/A,422,55.6,Y,SW-SW,,,,,2009-2010,
2020-2021,100,Brunswick County Schools,100336,Southport Elementary,N,"0K,01,02,03,04,05",N,Y,569,N/A,N/A,278,48.86,Y,SW-SW,,,,,2006-2007,
2020-2021,100,Brunswick County Schools,100338,Supply Elementary,N,"PK,0K,01,02,03,04,05",N,Y,593,N/A,N/A,463,78.08,Y,SW-SW,,,,,2005-2006,
2020-2021,100,Brunswick County Schools,100339,Town Creek Elementary,N,"PK,0K,01,02,03,04,05",N,Y,573,N/A,N/A,334,58.29,Y,SW-SW,,,,,2009-2010,
2020-2021,100,Brunswick County Schools,100340,Union Elementary,N,"0K,01,02,03,04,05",N,Y,601,N/A,N/A,321,53.41,Y,SW-SW,,,,,2006-2007,
2020-2021,100,Brunswick County Schools,100341,Town Creek Middle,N,"06,07,08",N,Y,337,N/A,N/A,196,58.16,Y,SW-SW,,,,,2020-2021,
2020-2021,100,Brunswick County Schools,100342,Virginia Williamson Elem,N,"PK,0K,01,02,03,04,05",N,Y,506,N/A,N/A,353,69.76,Y,SW-SW,,,,,2006-2007,
2020-2021,100,Brunswick County Schools,100344,Waccamaw,N,"0K,01,02,03,04,05,06,07,08",N,Y,518,N/A,N/A,325,62.74,Y,SW-SW,,,,,2006-2007,
2020-2021,100,Brunswick County Schools,100348,West Brunswick High,N,"09,10,11,12,XG",N,Y,1374,N/A,N/A,714,51.97,N,SW,,,,,,
2020-2021,10A,Charter Day School,10A000,Charter Day School,Y,"0K,01,02,03,04,05,06,07,08",N,N,909,290,1.6,464,51.05,Y,SW-SW,,,,,2006-2007,
2020-2021,10B,South Brunswick Charter School,10B000,South Brunswick Charter,Y,"0K,01,02,03,04,05",N,N,381,143,1.6,229,60.1,Y,SW-SW,,,,,2017-2018,
2020-2021,110,Buncombe County Schools,110303,Community High School,N,"09,10,11,12",N,N,115,N/A,N/A,86,74.78,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110304,Reynolds High,N,"PK,0K,09,10,11,12",N,N,1139,N/A,N/A,428,37.58,N,TAS,,,,,,
2020-2021,110,Buncombe County Schools,110306,Reynolds Middle,N,"06,07,08",N,N,569,N/A,N/A,325,57.12,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110308,Barnardsville Elementary,N,"0K,01,02,03,04",N,N,150,N/A,N/A,99,66,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110318,Black Mountain Elementary,N,"04,05",N,N,202,N/A,N/A,99,49.01,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110320,Black Mountain Primary,N,"0K,01,02,03",N,N,375,N/A,N/A,171,45.6,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110322,Early College,N,"09,10,11,12,13",N,N,258,N/A,N/A,111,43.02,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110323,Middle College,N,"11,12,13",N,N,53,N/A,N/A,14,26.42,N,Not Title I,,,,,,
2020-2021,110,Buncombe County Schools,110324,Candler Elementary,N,"0K,01,02,03,04",N,Y,416,164,1.6,262,62.98,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110326,Cane Creek Middle,N,"06,07,08",N,N,538,N/A,N/A,197,36.62,N,TAS,,,,,,
2020-2021,110,Buncombe County Schools,110332,Bell Elementary,N,"0K,01,02,03,04,05",N,N,267,N/A,N/A,139,52.06,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110336,Owen High,N,"09,10,11,12",N,N,672,N/A,N/A,296,44.05,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110338,Owen Middle,N,"06,07,08",N,N,510,N/A,N/A,285,55.88,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110340,Erwin High,N,"PK,0K,09,10,11,12",N,N,1141,N/A,N/A,683,59.86,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110342,Erwin Middle,N,"07,08",N,N,675,N/A,N/A,461,68.3,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110348,Emma Elementary,N,"0K,01,02,03,04",N,Y,350,149,1.6,238,68,Y,SW-SW,,,,,2006-2007,
2020-2021,110,Buncombe County Schools,110352,Enka High,N,"09,10,11,12",N,N,1015,N/A,N/A,493,48.57,N,SW,,,,,,
2020-2021,110,Buncombe County Schools,110356,Fairview Elementary,N,"0K,01,02,03,04,05",N,N,712,N/A,N/A,293,41.15,Y,SW-SW,,,,,2009-2010,
2020-2021,110,Buncombe County Schools,110366,Glen Arden Elementary,N,"0K,01,02,03,04",N,N,540,N/A,N/A,177,32.78,N,Not Title I,,,,,,
2020-2021,110,Buncombe County Schools,110368,Haw Creek Elementary,N,"0K,01,02,03,04,05",N,N,390,N/A,N/A,175,44.87,Y,SW-SW,,,,,2006-2007,
